,stat_field,unique_value,count
310,surface_age,"Tertiary, Oligocene to Eocene",1
311,surface_age,Tertiary-Cretaceous,2
312,surface_age,Toarcian - Oxfordian,20
313,surface_age,Tortonian - Pliocene,272
314,surface_age,Tortonian - Zanclean,1
315,surface_age,Tournaisian - Visean,2
316,surface_age,Triassic,17
317,surface_age,Triassic - Jurassic,3
318,surface_age,Triassic - Late Jurassic,9
319,surface_age,Triassic and Permian,6
320,surface_age,Triassic to Middle Jurassic,1
321,surface_age,Triassic-Permian,7
322,surface_age,Triassic-Upper Permian,1
323,surface_age,Triassic/Permian,10
324,surface_age,Turonian,66
325,surface_age,Turonian - Campanian,81
326,surface_age,Turonian - Coniacian,26
327,surface_age,Turonian - Santonian,5
328,surface_age,Upper Cretaceous,3081
329,surface_age,Upper Cretaceous ,59
330,surface_age,Upper Cretaceous - Campanian to Turonian,12
331,surface_age,Upper Cretaceous - Cenomanian,5
332,surface_age,Upper Cretaceous - Turonian to Cenomanian,1
333,surface_age,Upper Cretaceous and Paleogene,1
334,surface_age,"Upper Cretaceous, Campanian",1
335,surface_age,"Upper Cretaceous, Campanian-late Santonian",1
336,surface_age,"Upper Cretaceous, Coniacian to Santonian",2
337,surface_age,"Upper Cretaceous, Coniacian to Turonian",5
338,surface_age,"Upper Cretaceous, Coniacian to upper Turonian",2
339,surface_age,"Upper Cretaceous, Maastrichtian to Santonian",2
340,surface_age,"Upper Cretaceous, Santonian to Lower Campanian",2
341,surface_age,"Upper Cretaceous, Turonian",1
342,surface_age,Upper Cretaceous-Paleocene,2
343,surface_age,Upper Eocene,1
344,surface_age,Upper Holocene,61
345,surface_age,Upper Holocene To Bull Lake Glaciation,352
346,surface_age,Upper Holocene To Pleistocene,10
347,surface_age,Upper Jurassic,32
348,surface_age,Upper Jurassic and Middle Jurassic,1
349,surface_age,Upper Jurassic-Middle Jurassic,1
350,surface_age,Upper Pennsylvanian - Virgilian to Missourian,7
351,surface_age,Upper Pleistocene,6
352,surface_age,Upper Triassic,5
353,surface_age,Upper and Lower Cretaceous,45
354,surface_age,Upper and Lower Mississippian,3
355,surface_age,Upper and Lower Triassic,4
356,surface_age,Upper and Lower(?) Triassic,1
357,surface_age,Upper and Middle Jurassic,30
358,surface_age,Upper and Middle Miocene,208
359,surface_age,"Upper and lower Triassic, Permian",1
360,surface_age,Upper and upper Lower Cretaceous,1
361,surface_age,Visean,5
362,surface_age,Visean - Serpukhovian,1
363,surface_age,"Yarmouth Interglaciation Or Kansan Glaciation, Pleistocene",4
364,surface_age,Ypresian,25
365,surface_age,Ypresian - Burdigalian,2
366,surface_age,Ypresian - Lutetian,60
367,surface_age,Zanclean - Holocene,6
368,surface_age,early Holocene to middle Pleistocene,6
369,surface_age,early Miocene,1
370,surface_age,early Pleistocene,1
371,surface_age,early Pliocene and late Miocene,1
372,surface_age,late Holocene,7
373,surface_age,late Pleistocene,10
374,surface_age,late and late middle? Pleistocene,8
375,surface_age,late to middle Pleistocene,1
376,surface_age,latest Holocene,1
377,surface_age,lower Cretaceous,2
378,surface_age,"lower Cretaceous, middle Jurassic and upper Jurassic",4
379,surface_age,lower Eocene,591
380,surface_age,lower Eocene - upper Paleocene,2
381,surface_age,lower Eocene and upper Paleocene?,1
382,surface_age,lower Holocene to upper Pleistocene,54
383,surface_age,lower Miocene and upper Oligocene,1
384,surface_age,lower Miocene/Oligocene,59
385,surface_age,lower Oligocene and upper Eocene,2
386,surface_age,lower Oligocene to upper Eocene,1
387,surface_age,"lower Tertiary, Oligocene? to Cretaceous, Albian",1
388,surface_age,middle Eocene,363
389,surface_age,middle Pleistocene,10
390,surface_age,middle Upper Proterozoic,3
391,surface_age,middle and lower Eocene,168
392,surface_age,middle and lower Eocene and upper Paleocene?,1
393,surface_age,middle? Eocene,13
394,surface_age,mostly Holocene,15
395,surface_age,preCambrian Archean,26
396,surface_age,preCambrian Archean - Paleoproterozoic,2
397,surface_age,upper Campanian,2
398,surface_age,upper Holocene,27
399,surface_age,upper Miocene,10
400,surface_age,"upper Paleocene - Upper Cretaceous, Maastrichtian",1
401,surface_age,upper Pleistocene,40
402,surface_age,upper Pleistocene?,2
403,surface_age,upper and middle Eocene,15
404,surface_age,upper and middle Miocene,1
405,surface_age,upper to middle Paleocene,6
406,gmu_name,,69
407,gmu_name,2 limestone in Bridger,1
408,gmu_name,Abo Formation,3
409,gmu_name,"Absaroka Volcanic Supergroup, Hyalite Peak Volcanics, epiclastic andesite",1
410,gmu_name,Absaroka Volcanic Supergroup: Sunlight Group,1
411,gmu_name,Absaroka Volcanic Supergroup: Sunlight Group - Wapiti Formation,1
412,gmu_name,Absaroka Volcanic Supergroup: Thorofare Creek Group - Aycross Formation,31
413,gmu_name,Absaroka Volcanic Supergroup: Thorofare Creek Group - Tepee Trail Formation,18
414,gmu_name,Absaroka Volcanic Supergroup: Thorofare Creek Group - Wiggins Formation,5
415,gmu_name,Active coastal eolian (sand dune) deposits,1
416,gmu_name,Active wind-blown deposits,10
417,gmu_name,Adaville Formation,7
418,gmu_name,Admire Group,2
419,gmu_name,Adobe Town Member,57
420,gmu_name,Alkalic extrusive and intrusive igneous rocks,1
421,gmu_name,Allegheny Formation,4
422,gmu_name,"Allen Hollow, Coalville, and Chalk Creek Members of Hale (1960), undivided",2
423,gmu_name,Allen Ridge Formation,2
424,gmu_name,Alluvial and colluvial deposits,6
425,gmu_name,Alluvial deposits,407
426,gmu_name,"Alluvial deposits, undivided",1
427,gmu_name,Alluvial fan deposits,24
428,gmu_name,"Alluvial fan deposits, inactive",1
429,gmu_name,Alluvial fans,3
430,gmu_name,"Alluvial gravel, terrace",15
431,gmu_name,"Alluvial gravel, terrace level 1, Yellowstone River",5
432,gmu_name,"Alluvial gravel, terrace level 2, Yellowstone River",2
433,gmu_name,"Alluvial gravel, terrace level 4, Yellowstone River",2
434,gmu_name,"Alluvial gravel, terrace level 5, Yellowstone River",3
435,gmu_name,"Alluvial gravel, terrace of the Cameron bench",1
436,gmu_name,"Alluvial materials, Axtell and Harkers Formations",1
437,gmu_name,Alluvial mud,3
438,gmu_name,Alluvial pediment-mantle and colluvial deposits,3
439,gmu_name,Alluvial pediment-mantle and colluvial deposits with volcanic clasts,3
440,gmu_name,"Alluvial river, stream, and wash deposits, undifferentiated",1
441,gmu_name,"Alluvial, coastal and low terrace deposits",49
442,gmu_name,"Alluvial, eolian, and lake deposits",2
443,gmu_name,Alluvial-fan and debris-fan deposits,1
444,gmu_name,Alluvial-fan deposits,15
445,gmu_name,Alluvial-fan deposits over Bulldog Member of Fowkes Formation,1
446,gmu_name,Alluvium,735
447,gmu_name,Alluvium and Colluvium,648
448,gmu_name,Alluvium and colluvium,116
449,gmu_name,Alluvium and colluvium undivided,24
450,gmu_name,"Alluvium and colluvium, undifferentiated",1
451,gmu_name,Alluvium deposits,164
452,gmu_name,Alluvium over Bulldog Member of Fowkes Formation,1
453,gmu_name,"Alluvium, colluvium, and fan alluvium",2
454,gmu_name,"Alluvium, middle and lower Holocene",2
455,gmu_name,"Alluvium, surficial sediments",6
456,gmu_name,"Alluvium, undifferentiated",176
457,gmu_name,"Alluvium, undivided",12
458,gmu_name,Almond Formation,11
459,gmu_name,Almond Formation of Mesaverde Group,17
460,gmu_name,"Amphibolite, hornblendite, and related rocks",20
461,gmu_name,Amsden Formation,1
462,gmu_name,Amsden Group: Alaska Bench and Tyler Formations,1
463,gmu_name,Ancient alluvium,2
464,gmu_name,Angelo Member,16
465,gmu_name,Animas Fm,40
466,gmu_name,Animas Formation,7
467,gmu_name,Ankareh Formation,1
468,gmu_name,"Ankareh Formation, Thaynes Limestone, Woodside Shale, and Dinwoody Formation",2
469,gmu_name,Antrim Shale,1
470,gmu_name,Anvil Points Member of the Green River Formation,4
471,gmu_name,Arapien Shale,4
472,gmu_name,Arcturus Formation,3
473,gmu_name,Arikaree Fm,15
474,gmu_name,Arikaree Formation,70
475,gmu_name,Arikaree Group,211
476,gmu_name,Arkikaree Formation,14
477,gmu_name,Arkosic facies of Cutler Formation,13
478,gmu_name,Artesia Group,1
479,gmu_name,Artificial fill,1
480,gmu_name,Ash-flow tuff of main volcanic sequence,7
481,gmu_name,Aspen Formation,3
482,gmu_name,Aspen Shale,4
483,gmu_name,"Astoria Formation, Siphogenerina kleinpelli zone (Saucesian)",1
484,gmu_name,Astoria Group; Astoria Formation; Wickiup Mountain member,1
485,gmu_name,Astoria Group; Astoria Formation; Youngs Bay member,1
486,gmu_name,Astoria Group; Scappoose Formation,1
487,gmu_name,Atoka Formation,2
488,gmu_name,Atoka Formation - Upper part,1
489,gmu_name,Aztec Sandstone,1
490,gmu_name,Bacon Ridge Sandstone,1
491,gmu_name,Baked and fused rock,66
492,gmu_name,Baked and fused rock (Clinker),4
493,gmu_name,Baked and fused rock (clinker),218
494,gmu_name,Banded unit of Winsor Member of Carmel Formation,2
495,gmu_name,Basal Conglomerate,3
496,gmu_name,"Basal conglomerate member, Wasatch Formation",1
497,gmu_name,Basal conglomerate of Wasatch Formation,4
498,gmu_name,Basalt (Pleistocene and Pliocene),2
499,gmu_name,Basalt (Pliocene and Miocene),1
500,gmu_name,Basalt flows,1
501,gmu_name,"Basalt flows and associated tuff, breccia, and conglomerate of late-volcanic bimodal suite",7
502,gmu_name,Basalt of Hickey Formation,1
503,gmu_name,Basaltic to andesitic lava flows,7
504,gmu_name,Basin alluvium,1
505,gmu_name,Battle Spring Formation,121
506,gmu_name,Baxter Shale,104
507,gmu_name,Bear River Formation,7
508,gmu_name,Bearpaw Formation,773
509,gmu_name,Bearpaw Shale,12
510,gmu_name,"Beaumont Formation, areas predominantly clay",2
511,gmu_name,"Beaumont Formation, areas predominantly sand",8
512,gmu_name,"Beaverhead Group, limestone conglomerate unit, McKnight Canyon",1
513,gmu_name,Bedford Shale,1
514,gmu_name,Bell Canyon Formation,4
515,gmu_name,Belle Fourche Formation,32
516,gmu_name,Belle Fourche Shale,64
517,gmu_name,Bellvale Sandstone,8
518,gmu_name,Berea Sandstone,2
519,gmu_name,"Bighorn Dolomite, Gallatin Group,  Gros Ventre Formation, Snowy Range Formation, Pilgrim Limestone, Park Shale, Meagher Limestone, Wolsey Shale, Flathead Sandstone, Whitewood Dolomite, and Winnipeg and Deadwood Formations",25
520,gmu_name,Billman Creek Formation,7
521,gmu_name,Biotite gneiss,14
522,gmu_name,"Biotite-hornblende granodioritic rocks along the Continental Divide, Anaconda Range, Sapphire Mountains, and Flint Creek Range",5
523,gmu_name,"Biotitic gneiss, schist, and migmatite",6
524,gmu_name,Bishop Conglomerate,42
525,gmu_name,Bison Formation or Bison Shale,6
526,gmu_name,Black Butte Tongue of Hale (1950),5
527,gmu_name,Blackhawk Formation,9
528,gmu_name,"Blackleaf Formation and unnamed overlying sedimentary rocks, undivided",1
529,gmu_name,"Blackleaf Formation, Kootenai Formation, and Mount Pablo Formation, undivided",4
530,gmu_name,"Blackleaf Formation, Vaughn Member, Taft Hill Member, and Flood Member, undivided",4
531,gmu_name,Blackshare Formation,1
532,gmu_name,Blackwater Draw Formation,23
533,gmu_name,Blaine Formation,2
534,gmu_name,Blair Formation of Mesaverde Group,17
535,gmu_name,Blind Bull Formation,5
536,gmu_name,Blue Gate Member of Mancos Shale,7
537,gmu_name,Blue Gate Member of the Mancos Shale,4
538,gmu_name,Blue Gate Shale Member of Mancos Shale (main part),5
539,gmu_name,Bluecastle Sandstone Member and mudstone member of Price River Formation,2
540,gmu_name,"Bluff Ss, Summerville Fm, Curtis Fm, Entrada Ss, and Carmel Formation",68
541,gmu_name,Boggy Formation,1
542,gmu_name,Bond Formation,2
543,gmu_name,Bonner Quartzite,1
544,gmu_name,Bootlegger Member of Blackleaf Formation,6
545,gmu_name,Boulder gravel,1
546,gmu_name,"Bozeman Group and related valley-fill deposits, undivided",7
547,gmu_name,Brazer Dolomite,1
548,gmu_name,Breccia member of the Guilmette Formation,1
549,gmu_name,Brennan Basin Member of Duchesne River Formation,139
550,gmu_name,Brennan Basin Member of the Duchesne River Formation,46
551,gmu_name,Bridge Creek Limestone Member of the Mancos Shale,1
552,gmu_name,Bridger A,3
553,gmu_name,"Bridger A, Bridger Formation",51
554,gmu_name,Bridger B,72
555,gmu_name,"Bridger B, Bridger Formation",47
556,gmu_name,Bridger Fm,5
557,gmu_name,Bridger Formation,27
558,gmu_name,"Bridger Formation, Bridger A of the Blacks Fork Member",78
559,gmu_name,"Bridger Formation, Bridger B of the Blacks Fork Member",15
560,gmu_name,Bridger Peak Quartzite,1
561,gmu_name,Broadway Alluvium,51
562,gmu_name,Broadway Alluvium ,3
563,gmu_name,Browns Park Fm,85
564,gmu_name,Browns Park Formation,64
565,gmu_name,Brule Formation,12
566,gmu_name,Brushy Basin Member of Morrison Formation,10
567,gmu_name,Buck Tongue of Mancos Shale,7
568,gmu_name,Buck Tongue of the Mancos Shale,2
569,gmu_name,Bulldog Hollow Member,1
570,gmu_name,Bulldog Hollow Member of the Fowkes Formation,1
571,gmu_name,Bulldog Member of Fowkes Formation,4
572,gmu_name,Bullion Creek Formation,1492
573,gmu_name,Bullpen Member,5
574,gmu_name,Burgoon Sandstone,3
575,gmu_name,Burke Formation,2
576,gmu_name,Burro Canyon Formation,18
577,gmu_name,Bursum Formation,1
578,gmu_name,Cajon Valley Formation: Unit 5,1
579,gmu_name,Calc-silicate gneiss,3
580,gmu_name,Calcareous member,4
581,gmu_name,Canning Formation,1
582,gmu_name,Cannonball Formation,608
583,gmu_name,Canyon Creek zone of Smith (1961),3
584,gmu_name,Carbonate Shelf Sequence - Bioclastic limestone,2
585,gmu_name,"Carbonate Shelf Sequence - Cherty limestone, dolomite, shale, and sandstone",1
586,gmu_name,"Carbonate Shelf Sequence - Limestone, dolomite, siltstone, sandstone, and shale",4
587,gmu_name,"Carbonate Shelf Sequence - Siltstone, sandstone, limestone, and dolomite",1
588,gmu_name,Carlile Formation,47
589,gmu_name,Carlile Shale,68
590,gmu_name,"Carlile Shale, Greenhorn Limestone, and Graneros Shale",96
591,gmu_name,Carlile Shale: Sage Breaks Member,1
592,gmu_name,Carlile Shale: Turner Sandstone Member,1
593,gmu_name,Carmel Formation,10
594,gmu_name,"Carmel Formation, Crystal Creek Member",1
595,gmu_name,Carrizo Sand,1
596,gmu_name,"Casper Formation and Fountain Formation, undivided",3
597,gmu_name,Casselman Formation,1
598,gmu_name,Castlegate Formation,1
599,gmu_name,Castlegate Sandstone,5
600,gmu_name,"Catahoula and Frio and Vicksburg Formations, undivided",15
601,gmu_name,Catahoula formation,3
602,gmu_name,Cathedral Bluffs Tongue,35
